game,community_id,users,weighted_degree_sum
Project Sekai,117,3,4.0
Project Sekai,118,3,4.0
Project Sekai,119,3,4.0
Project Sekai,120,3,4.0
Project Sekai,121,3,4.0
Project Sekai,122,3,4.0
Project Sekai,123,3,4.0
Project Sekai,124,3,4.0
Project Sekai,125,3,4.0
Project Sekai,126,3,4.0
Project Sekai,127,3,4.0
Project Sekai,128,3,4.0
Project Sekai,129,3,4.0
Project Sekai,130,3,4.0
Project Sekai,131,3,4.0
Project Sekai,132,3,4.0
Project Sekai,133,3,4.0
Project Sekai,134,3,4.0
Project Sekai,135,3,4.0
Project Sekai,136,3,4.0
Project Sekai,137,3,4.0
Project Sekai,138,3,4.0
Project Sekai,139,3,4.0
Project Sekai,140,3,4.0
Project Sekai,141,3,4.0
Project Sekai,142,3,4.0
Project Sekai,143,3,4.0
Project Sekai,144,3,4.0
Project Sekai,145,3,4.0
Project Sekai,146,3,6.0
Project Sekai,147,3,4.0
Project Sekai,148,3,4.0
Project Sekai,149,3,4.0
Project Sekai,150,3,4.0
Project Sekai,151,3,4.0
Project Sekai,152,3,4.0
Project Sekai,153,3,4.0
Project Sekai,154,3,6.0
Project Sekai,155,3,4.0
Project Sekai,156,3,4.0
Project Sekai,157,3,4.0
Project Sekai,158,3,4.0
Project Sekai,159,3,4.0
Project Sekai,160,3,4.0
Project Sekai,161,3,4.0
Project Sekai,162,3,4.0
Project Sekai,163,3,4.0
Project Sekai,164,2,6.0
Project Sekai,165,2,6.0
Project Sekai,166,2,4.0
Project Sekai,167,2,4.0
Project Sekai,168,2,4.0
Project Sekai,169,2,4.0
Project Sekai,170,2,4.0
Project Sekai,171,2,4.0
Project Sekai,172,2,4.0
Project Sekai,173,2,4.0
Project Sekai,174,2,4.0
Project Sekai,175,2,2.0
Project Sekai,176,2,2.0
Project Sekai,177,2,2.0
Project Sekai,178,2,2.0
Project Sekai,179,2,2.0
Project Sekai,180,2,2.0
Project Sekai,181,2,2.0
Project Sekai,182,2,2.0
Project Sekai,183,2,2.0
Project Sekai,184,2,2.0
Project Sekai,185,2,2.0
Project Sekai,186,2,2.0
Project Sekai,187,2,2.0
Project Sekai,188,2,2.0
Project Sekai,189,2,2.0
Project Sekai,190,2,2.0
Project Sekai,191,2,2.0
Project Sekai,192,2,2.0
Project Sekai,193,2,2.0
Project Sekai,194,2,2.0
Project Sekai,195,2,2.0
Project Sekai,196,2,2.0
Project Sekai,197,2,2.0
Project Sekai,198,2,2.0
Project Sekai,199,2,2.0
Project Sekai,200,2,2.0
Project Sekai,201,2,2.0
Project Sekai,202,2,2.0
Project Sekai,203,2,2.0
Project Sekai,204,2,2.0
Project Sekai,205,2,2.0
Project Sekai,206,2,2.0
Project Sekai,207,2,2.0
Project Sekai,208,2,2.0
Project Sekai,209,2,2.0
Project Sekai,210,2,2.0
Project Sekai,211,2,2.0
Project Sekai,212,2,2.0
Project Sekai,213,2,2.0
Project Sekai,214,2,2.0
Project Sekai,215,2,2.0
Project Sekai,216,2,2.0
Project Sekai,217,2,2.0
Project Sekai,218,2,2.0
Project Sekai,219,2,2.0
Project Sekai,220,2,2.0
Project Sekai,221,2,2.0
Project Sekai,222,2,2.0
Project Sekai,223,2,2.0
Project Sekai,224,2,2.0
Project Sekai,225,2,2.0
Project Sekai,226,2,2.0
Project Sekai,227,2,2.0
Project Sekai,228,2,2.0
Project Sekai,229,2,2.0
Project Sekai,230,2,2.0
Project Sekai,231,2,2.0
Project Sekai,232,2,2.0
Project Sekai,233,2,2.0
Project Sekai,234,2,2.0
Project Sekai,235,2,2.0
Project Sekai,236,2,2.0
Project Sekai,237,2,2.0
Project Sekai,238,2,2.0
Project Sekai,239,2,2.0
Project Sekai,240,2,2.0
Project Sekai,241,2,2.0
Project Sekai,242,2,2.0
Project Sekai,243,2,2.0
Project Sekai,244,2,2.0
Project Sekai,245,2,2.0
Project Sekai,246,2,2.0
Project Sekai,247,2,2.0
Project Sekai,248,2,2.0
Project Sekai,249,2,2.0
Project Sekai,250,2,2.0
Project Sekai,251,2,2.0
Project Sekai,252,2,2.0
Project Sekai,253,2,2.0
Project Sekai,254,2,2.0
Project Sekai,255,2,2.0
Project Sekai,256,2,2.0
Project Sekai,257,2,2.0
Project Sekai,258,2,2.0
Project Sekai,259,2,2.0
Project Sekai,260,2,2.0
Project Sekai,261,2,2.0
Project Sekai,262,2,2.0
Project Sekai,263,2,2.0
Project Sekai,264,2,2.0
Project Sekai,265,2,2.0
Project Sekai,266,2,2.0
Project Sekai,267,2,2.0
Project Sekai,268,2,2.0
Project Sekai,269,2,2.0
Project Sekai,270,2,2.0
Project Sekai,271,2,2.0
Project Sekai,272,2,2.0
Project Sekai,273,2,2.0
Project Sekai,274,2,2.0
Project Sekai,275,2,2.0
Project Sekai,276,2,2.0
Project Sekai,277,2,2.0
Project Sekai,278,2,2.0
Project Sekai,279,2,2.0
Project Sekai,280,2,2.0
Project Sekai,281,2,2.0
Project Sekai,282,2,2.0
Project Sekai,283,2,2.0
Project Sekai,284,2,2.0
Project Sekai,285,2,2.0
Project Sekai,286,2,2.0
Project Sekai,287,2,2.0
Project Sekai,288,2,2.0
Project Sekai,289,2,2.0
Project Sekai,290,2,2.0
Project Sekai,291,2,2.0
Project Sekai,292,2,2.0
Project Sekai,293,2,2.0
Project Sekai,294,2,2.0
Project Sekai,295,2,2.0
Project Sekai,296,2,2.0
Project Sekai,297,2,2.0
Project Sekai,298,2,2.0
Project Sekai,299,2,2.0
Project Sekai,300,2,2.0
Project Sekai,301,2,2.0
Project Sekai,302,2,2.0
Project Sekai,303,2,2.0
Project Sekai,304,2,2.0
Project Sekai,305,2,2.0
Project Sekai,306,2,2.0
Project Sekai,307,2,2.0
Project Sekai,308,2,2.0
Project Sekai,309,2,2.0
Project Sekai,310,2,2.0
Project Sekai,311,2,2.0
Project Sekai,312,2,2.0
Project Sekai,313,2,2.0
Project Sekai,314,2,2.0
Project Sekai,315,2,2.0
Project Sekai,316,2,2.0
Project Sekai,317,2,2.0
Project Sekai,318,2,2.0
Project Sekai,319,2,2.0
Project Sekai,320,2,2.0
Project Sekai,321,2,2.0
Project Sekai,322,2,2.0
Project Sekai,323,2,2.0
Project Sekai,324,2,2.0
Project Sekai,325,2,2.0
Project Sekai,326,2,2.0
Project Sekai,327,2,2.0
Project Sekai,328,2,2.0
Project Sekai,329,2,2.0
Project Sekai,330,2,2.0
Project Sekai,331,2,2.0
Project Sekai,332,2,2.0
Project Sekai,333,2,2.0
Project Sekai,334,2,2.0
Project Sekai,335,2,2.0
Project Sekai,336,2,2.0
Project Sekai,337,2,2.0
Project Sekai,338,2,2.0
Project Sekai,339,2,2.0
Project Sekai,340,2,2.0
Project Sekai,341,2,2.0
Project Sekai,342,2,2.0
Project Sekai,343,2,2.0
Project Sekai,344,2,2.0
Project Sekai,345,2,2.0
Project Sekai,346,2,2.0
Project Sekai,347,2,2.0
Project Sekai,348,2,2.0
Project Sekai,349,2,2.0
Project Sekai,350,2,2.0
Project Sekai,351,2,2.0
Project Sekai,352,2,2.0
Project Sekai,353,2,2.0
Project Sekai,354,2,2.0
Project Sekai,355,2,2.0
Project Sekai,356,2,2.0
Project Sekai,357,2,2.0
Project Sekai,358,2,2.0
Project Sekai,359,2,2.0
Project Sekai,360,2,2.0
Project Sekai,361,2,2.0
Project Sekai,362,2,2.0
Project Sekai,363,2,2.0
Project Sekai,364,2,2.0
Project Sekai,365,2,2.0
Project Sekai,366,2,2.0
Project Sekai,367,2,2.0
Project Sekai,368,2,2.0
Project Sekai,369,2,2.0
Project Sekai,370,2,2.0
Project Sekai,371,2,2.0
Project Sekai,372,2,2.0
Project Sekai,373,2,2.0
Project Sekai,374,2,2.0
Project Sekai,375,2,2.0
Project Sekai,376,2,2.0
Project Sekai,377,2,2.0
Project Sekai,378,2,2.0
Project Sekai,379,2,2.0
Project Sekai,380,2,2.0
Project Sekai,381,2,2.0
Project Sekai,382,2,2.0
Project Sekai,383,2,2.0
Project Sekai,384,2,2.0
Project Sekai,385,2,2.0
Project Sekai,386,2,2.0
Project Sekai,387,2,2.0
Project Sekai,388,2,2.0
Project Sekai,389,2,2.0
Project Sekai,390,2,2.0
Project Sekai,391,2,2.0
Project Sekai,392,2,2.0
Project Sekai,393,2,2.0
Project Sekai,394,2,2.0
Project Sekai,395,2,2.0
Project Sekai,396,2,2.0
Project Sekai,397,2,2.0
Project Sekai,398,2,2.0
Project Sekai,399,2,2.0
Project Sekai,400,2,2.0
Project Sekai,401,2,2.0
Project Sekai,402,2,2.0
Project Sekai,403,2,2.0
Project Sekai,404,2,2.0
Project Sekai,405,2,2.0
Project Sekai,406,2,2.0
