gameLabel,source,target,weight
BanG Dream,UCdgEzQ7Xo5360S3-zU8AlDw,UC774gBauMKzdOaacpWIKG5g,2
BanG Dream,UCdw7zo5PQBQNki_KhICVvBQ,UCILFfbE0NhBqf5zhGj3kP0Q,2
BanG Dream,UCdw7zo5PQBQNki_KhICVvBQ,UCKxvyYkJ-y-RCZC27iFYYVg,2
BanG Dream,UCeLPrmEmrgd-TfFXg2ztZog,UCZzGSeFLsuk5XKcT8RiycLQ,2
BanG Dream,UCeLnQ-UnwrBPRkheYd5BbzQ,UCSTDzD0sQ8dbTf44-R5dMVA,2
BanG Dream,UCenMr3y7NkjIf-hknSiyiYA,UCDYXkDvRZLZm-rJ4IJM94wA,2
BanG Dream,UCenMr3y7NkjIf-hknSiyiYA,UCPsfosif42gwshsKfUCt3Pg,2
BanG Dream,UCezFzgYMhLCKMuVeLlQ6t6Q,UCmzdMomIrEkMzNNKyTQYHtA,2
BanG Dream,UCfCT_opCsOxr2vYb3Bt6cIg,UCSTDzD0sQ8dbTf44-R5dMVA,2
BanG Dream,UCfMJmfdTyVYqtEuko5GdQbg,UCt8o7AAq0J6u29xHTA0aFHQ,2
BanG Dream,UCflOGZUFOPasj9WBETYY2pA,UC7cmp38AdNfoS2lOdu2bBbw,2
BanG Dream,UCgdORGljFI7MevNzZJXrBTg,UCAwRWZ1g53WxrUmxYZS6a_g,2
BanG Dream,UCh8-LqmnbuYKXJuVSds87Eg,UC7NOp59onnF__FwazlsTkIw,2
BanG Dream,UChq9ma5JC0n1zQV44Pp_QfQ,UCYOlIDsw45ZPccY6Bf7djUA,2
BanG Dream,UChq9vXOmniN0gcE3R_HGgYw,UC57uJWtMBylT39ajRlLifQg,2
BanG Dream,UCjVqIuA-uoMMQygbxBUEK2w,UC99ktfger3_kkdniFjJYD-Q,2
BanG Dream,UCkIsYm5ssT29kk0i2LjjGuQ,UCk40eKOLYpghLZFOUf-x0NQ,2
BanG Dream,UCkR2G6IiLdpD9g3mRPnoLrA,UCMXfrGRXen3V6TTBlnBzVmQ,2
